Arizona        ,ARI,9017,16,434,33,17,13,0,10
Atlanta        ,ATL,9024,16,288,31,22,9,1,5
Baltimore      ,BAL,9030,16,270,27,19,9,1,4
Buffalo        ,BUF,9000,16,425,27,11,11,1,4
Carolina       ,CAR,9028,16,408,31,17,12,0,1
Chicago        ,CHI,9019,16,286,34,21,14,0,4
Cincinnati     ,CIN,9005,16,395,27,16,10,1,2
Cleveland      ,CLE,9006,16,332,29,19,9,0,3
Dallas         ,DAL,9014,16,436,35,20,10,2,7
Denver         ,DEN,9009,16,471,23,10,8,0,2
Detroit        ,DET,9020,16,369,44,14,15,0,4
Green Bay      ,GBP,9021,16,240,47,24,8,0,4
Houston        ,HOU,9031,16,427,30,13,5,1,0
Indianapolis   ,IND,9001,16,388,30,10,11,1,5
Jacksonville   ,JAC,9029,16,419,26,13,5,1,1
Kansas City    ,KCC,9010,16,326,39,14,9,0,4
Miami          ,MIA,9002,16,333,39,11,8,0,1
Minnesota      ,MIN,9022,16,348,31,15,11,0,3
New England    ,NEP,9003,16,313,36,25,13,4,11
New Orleans    ,NOS,9026,16,307,33,9,16,2,2
NY Giants      ,NYG,9015,16,347,47,16,23,2,0
NY Jets        ,NYJ,9004,16,304,40,12,18,0,5
Oakland        ,OAK,9011,16,371,47,12,12,0,7
Philadelphia   ,PHI,9016,16,377,39,23,11,1,3
Pittsburgh     ,PIT,9008,16,232,48,21,14,1,4
San Diego      ,SDC,9012,16,322,47,16,7,0,3
San Francisco  ,SFO,9027,16,346,36,15,7,0,5
Seattle        ,SEA,9013,16,407,37,12,10,2,6
St. Louis      ,STL,9025,16,328,43,14,12,1,0
Tampa Bay      ,TBB,9023,16,318,26,19,9,2,4
Tennessee      ,TEN,9007,16,339,40,17,8,0,3
Washington     ,WAS,9018,16,377,29,14,13,2,3
