Arizona,ARI,9017,16,250,357,5406,1042,270,497,3201,20,38,240,77,507,2205,12,35,81,22,306,2,12,11,0,1,0,0,0,102,857,25,25,25,28,288,107,160,21,58,177,4,7,469:11,3
Atlanta,ATL,9024,16,419,299,5849,991,337,551,3878,14,29,182,82,411,1971,16,46,105,20,246,1,15,11,0,1,0,0,2,55,415,44,46,33,38,298,99,189,10,61,161,5,12,493:57,2
Baltimore,BAL,9030,16,398,344,5612,1086,336,558,3650,15,37,250,91,491,1962,15,42,103,13,196,2,6,12,0,0,0,1,2,121,1127,43,44,30,33,326,105,187,34,65,187,3,8,458:32,2
Buffalo,BUF,9000,16,344,435,5806,1042,306,536,3473,25,36,196,79,470,2333,23,46,90,12,177,1,17,9,0,0,1,0,1,104,871,39,40,21,24,349,136,182,31,74,170,6,12,482:59,1
Carolina,CAR,9028,16,357,363,5329,1010,371,555,3568,22,39,284,66,416,1761,11,30,80,11,181,3,14,12,0,0,1,0,0,98,835,43,44,16,21,326,98,196,32,54,161,10,18,477:32,3
Chicago,CHI,9019,16,375,277,5050,1021,350,592,3423,19,41,289,94,388,1627,6,45,97,24,488,8,23,20,0,1,0,1,2,102,811,42,42,27,33,286,75,186,25,69,183,7,12,508:43,9
Cincinnati,CIN,9005,16,391,320,5115,1034,346,560,3389,16,52,372,73,422,1726,13,38,85,14,164,2,16,16,0,1,0,0,0,99,857,43,43,30,35,307,99,183,25,66,183,4,11,487:01,3
Cleveland,CLE,9006,16,302,368,5821,1096,379,601,3923,27,38,233,80,457,1898,14,28,78,17,230,2,16,12,0,0,0,0,2,113,1005,29,31,29,31,345,104,203,38,69,178,5,9,451:52,2
Dallas,DAL,9014,16,376,400,5687,986,320,511,3684,22,34,211,56,441,2003,17,29,53,7,147,1,13,9,0,2,0,3,4,118,907,40,41,29,31,317,92,195,30,69,161,1,5,500:24,3
Denver,DEN,9009,16,481,289,4652,1015,321,559,3194,25,52,364,86,404,1458,5,34,84,16,347,5,18,8,0,1,2,1,2,100,805,57,57,26,32,287,73,183,31,43,170,6,16,500:22,6
Detroit,DET,9020,16,372,437,5458,998,346,544,3569,26,34,237,63,420,1889,13,65,174,11,135,0,9,6,0,0,1,1,1,103,944,39,39,32,36,305,107,167,31,63,173,5,6,513:21,0
Green Bay,GB,9021,16,433,336,5388,1033,313,568,3492,24,47,309,90,418,1896,12,32,59,18,246,1,8,5,0,1,0,1,3,103,968,52,53,21,33,308,83,191,34,74,183,6,18,486:58,2
Houston,HOU,9031,16,416,331,5172,1015,308,581,3609,29,45,272,118,389,1563,5,46,114,15,333,3,16,14,0,0,1,0,0,108,900,45,45,31,38,292,94,167,31,63,179,5,13,540:19,3
Indianapolis,IND,9001,16,357,387,5988,995,335,536,3796,23,32,189,68,427,2192,14,35,85,12,155,4,5,3,0,0,0,1,2,94,846,39,39,26,33,325,101,191,33,60,157,2,6,492:08,4
Jacksonville,JAC,9029,16,255,444,6088,1100,341,535,3832,21,20,128,59,545,2256,19,42,96,12,122,0,12,11,0,0,0,3,7,101,955,23,26,25,28,364,133,194,37,69,169,3,8,448:46,0
Kansas City,KC,9010,16,211,425,5704,973,279,464,3533,29,27,161,65,482,2171,11,41,87,7,119,0,11,6,0,1,1,0,1,92,778,17,18,28,34,301,106,176,19,64,167,3,4,485:15,1
Miami,MIA,9002,16,288,317,5708,1073,353,600,3979,18,41,237,66,432,1729,10,44,102,10,99,0,11,6,0,0,0,2,2,82,724,31,31,23,30,320,79,215,26,73,192,11,16,463:55,0
Minnesota,MIN,9022,16,379,348,5600,1083,391,612,3908,28,44,284,73,427,1692,10,41,89,10,224,3,13,12,0,0,0,2,3,90,830,38,39,35,38,345,82,229,34,75,186,10,18,459:51,3
New England,NE,9003,16,557,331,5978,1047,370,595,4345,27,36,213,81,416,1633,10,45,125,20,371,2,28,21,0,3,1,0,1,97,840,67,67,29,35,340,100,207,33,69,169,8,20,494:50,5
New Orleans,NO,9026,16,461,454,7042,1089,370,602,4681,31,30,194,92,457,2361,18,45,90,15,369,4,10,11,0,0,0,1,1,104,911,58,58,18,22,380,116,236,28,63,163,7,15,464:29,4
New York Giants,NYG,9015,16,429,344,6134,1016,341,534,4068,26,33,231,72,449,2066,9,34,64,21,496,1,11,14,0,1,0,1,1,72,668,47,47,33,39,317,104,196,17,74,169,10,19,466:42,2
New York Jets,NYJ,9004,16,281,375,5172,1019,266,494,3036,20,30,170,58,495,2136,17,40,99,11,117,2,14,12,0,1,1,0,1,83,708,30,31,21,27,293,96,161,36,60,183,11,14,486:59,3
Oakland,OAK,9011,16,290,443,5672,995,347,526,3775,28,25,185,56,444,1897,18,49,113,11,91,0,8,8,0,0,0,2,3,109,939,27,28,31,34,304,95,180,29,61,168,5,11,472:06,0
Philadelphia,PHI,9016,16,280,444,5491,994,292,485,3470,33,30,198,74,479,2021,11,55,145,8,31,0,9,5,0,0,0,0,3,98,863,26,29,27,31,317,108,178,31,71,161,2,7,475:41,0
Pittsburg,PIT,9008,16,336,314,4413,951,299,523,2963,19,37,196,80,391,1450,9,38,73,10,127,1,15,10,0,0,0,1,2,92,938,36,36,28,31,273,78,169,26,57,173,8,11,515:01,1
San Francisco,SF,9027,16,397,273,4710,1012,337,567,3203,19,38,270,78,407,1507,7,32,69,14,206,2,12,11,0,1,1,0,0,109,960,44,44,29,42,284,72,178,34,52,173,12,22,508:20,3
San Diego,SD,9012,16,350,350,5228,1012,347,568,3681,28,38,244,72,406,1547,10,39,87,14,336,5,16,14,0,1,1,0,0,103,841,39,39,25,27,316,85,201,30,76,177,4,8,505:58,6
Seattle,SEA,9013,16,412,245,4899,968,327,564,3250,15,36,247,77,368,1649,8,27,59,18,255,2,15,12,0,1,0,0,0,110,890,48,48,24,27,295,80,186,29,59,160,3,10,509:35,3
St. Louis,STL,9025,16,299,348,5482,1041,362,547,3602,16,52,325,59,442,1880,18,59,148,17,382,4,10,4,0,1,1,5,6,130,978,31,32,23,31,327,107,197,23,68,177,5,15,476:31,5
Tampa Bay,TB,9023,16,389,394,6078,1031,410,627,4751,30,28,200,83,376,1327,13,79,173,18,419,3,10,8,0,0,0,1,4,101,905,40,43,28,33,329,75,226,28,76,180,6,13,484:20,3
Tennessee,TEN,9007,16,330,471,5993,1086,374,564,3957,31,39,248,70,483,2036,16,42,91,19,358,4,13,5,0,1,1,1,1,106,847,36,36,25,31,358,122,210,26,66,173,5,12,442:51,5
Washington,WAS,9018,16,436,388,6043,1031,393,636,4511,31,32,209,94,363,1532,11,30,61,21,257,3,12,10,0,1,0,1,1,116,985,51,52,24,30,340,89,223,28,83,183,6,11,499:04,4
