Arizona,ARI,9017,2,49,48,688,119,51,74,572,4,1,5,10,44,116,0,8,25,1,2,1,2,2,0,0,0,0,1,13,108,4,5,5,6,36,8,25,3,7,22,0,1,62:44,1
Atlanta,ATL,9024,2,48,47,840,139,58,90,693,5,2,16,10,47,147,0,6,11,2,68,1,0,0,0,0,0,0,0,9,72,6,6,2,2,42,5,35,2,13,30,2,3,55:06,1
Baltimore,BAL,9030,2,41,55,769,130,49,79,639,7,8,56,10,43,130,0,4,9,0,0,0,1,2,0,0,0,0,0,10,94,5,5,2,4,37,3,31,3,12,30,0,2,64:23,0
Buffalo,BUF,9000,2,45,46,739,165,50,90,456,4,8,61,14,67,283,0,4,5,2,0,0,1,2,0,1,0,1,1,17,130,5,5,3,4,51,16,30,5,18,36,0,1,48:36,1
Carolina,CAR,9028,2,30,36,806,134,52,72,587,2,3,29,7,59,219,1,7,25,1,0,0,2,2,0,0,0,0,0,7,76,3,3,3,3,42,12,26,4,12,27,0,0,63:27,0
Chicago,CHI,9019,2,55,51,690,119,42,63,504,3,2,5,12,54,186,1,6,29,3,85,1,3,3,0,0,0,0,0,8,94,7,7,2,2,37,13,21,3,14,27,2,2,62:04,1
Cincinnati,CIN,9005,2,41,34,601,116,41,70,476,3,2,17,10,44,125,1,4,10,2,12,0,1,1,0,0,0,0,0,17,168,5,5,2,2,31,6,23,2,9,26,1,1,64:04,0
Cleveland,CLE,9006,2,16,37,571,136,46,71,452,2,6,31,9,59,119,2,8,14,1,29,0,1,1,0,0,0,0,0,14,90,1,1,3,3,37,6,28,3,16,32,0,0,56:38,0
Dallas,DAL,9014,2,52,48,791,124,48,78,627,6,7,46,9,39,164,0,2,3,3,62,1,2,3,0,1,0,0,1,10,67,4,5,6,6,40,9,30,1,10,24,0,0,68:57,2
Denver,DEN,9009,2,90,50,769,156,62,111,688,3,5,36,26,40,81,2,9,19,6,29,0,1,0,0,0,0,0,0,21,193,12,12,2,2,52,6,33,13,9,33,0,2,54:14,0
Detroit,DET,9020,2,55,49,678,119,41,68,486,2,4,15,14,47,192,3,8,23,4,90,1,0,1,0,0,0,0,0,19,189,7,7,2,4,40,10,24,6,3,21,1,2,65:00,1
Green Bay,GB,9021,2,66,54,916,133,53,79,718,6,3,14,11,51,198,1,8,26,1,5,0,0,0,0,0,0,0,0,9,84,9,9,1,1,41,9,32,0,12,29,2,3,53:54,0
Houston,HOU,9031,2,61,52,511,118,31,59,312,6,6,31,13,53,199,0,8,10,1,18,1,0,0,0,0,1,1,1,12,113,7,7,1,5,28,8,17,3,11,30,1,2,69:45,1
Indianapolis,IND,9001,2,41,41,770,129,42,63,498,2,6,38,10,60,272,3,2,4,2,28,0,2,1,0,0,0,0,0,6,44,5,5,2,3,41,16,24,1,13,27,1,2,57:47,0
Jacksonville,JAC,9029,2,11,47,631,124,36,58,285,2,4,14,4,62,346,2,6,11,0,0,0,2,1,0,0,1,0,1,15,100,1,1,1,1,33,14,16,3,9,29,0,0,56:42,0
