Arizona,ARI,9017,14,445,269,4615,849,305,512,3401,20,26,176,63,311,1214,8,49,128,18,263,4,15,11,0,0,2,0,0,78,596,48,52,27,29,338,87,211,40,83,176,4,8,459:19,4,5920,928,314,492,4151,32,23,142,413,1769,15,44,90
Atlanta,ATL,9024,14,302,312,4904,879,321,488,3446,18,17,88,51,374,1458,18,32,85,15,220,1,9,6,0,2,0,1,3,93,917,31,33,22,26,313,84,199,30,90,200,10,19,451:11,3,5198,948,363,555,3756,18,29,206,364,1442,12,39,100
Baltimore,BAL,9030,14,292,360,4793,885,309,484,3392,28,31,185,57,370,1401,7,37,64,4,52,1,5,7,0,1,0,1,4,106,994,27,30,28,35,279,81,177,21,64,188,12,22,425:08,2,5022,932,368,579,3724,19,22,159,331,1298,7,38,79
Buffalo,BUF,9000,14,341,336,5095,906,319,535,3610,28,20,122,77,351,1485,10,22,43,13,213,2,5,7,0,1,1,2,5,132,1142,34,41,19,23,260,106,138,16,71,193,5,13,430:11,3,5072,882,264,419,2989,23,37,250,426,2083,15,50,116
Carolina,CAR,9028,14,449,278,4408,925,338,573,3147,20,40,276,77,312,1261,9,34,68,22,255,4,20,13,0,0,0,0,0,92,814,50,53,27,33,316,115,178,23,75,183,6,9,456:39,4,5237,947,262,446,3221,33,27,217,474,2016,15,42,122
Chicago,CHI,9019,14,289,352,4789,861,279,444,3026,26,30,211,43,387,1763,8,20,40,7,80,0,4,7,0,0,0,2,5,95,869,26,30,27,33,275,90,160,25,80,192,6,10,439:15,0,4845,906,297,473,3276,18,28,166,405,1569,12,29,57
Cincinnati,CIN,9005,14,378,243,4722,891,358,551,3417,16,38,256,76,302,1305,7,33,93,19,188,1,9,6,0,0,0,1,1,94,800,44,45,21,25,284,87,166,31,71,175,5,10,431:13,1,5137,876,295,443,3590,28,27,154,406,1547,16,31,65
Cleveland,CLE,9006,14,253,387,5430,893,283,453,3541,29,28,154,47,412,1889,11,36,82,8,114,2,13,9,0,0,0,2,4,104,953,23,27,22,25,264,63,172,29,85,196,6,16,431:13,2,4680,898,334,531,3469,20,46,311,321,1211,4,42,124
Dallas,DAL,9014,14,246,324,4725,874,298,462,3173,15,27,209,48,385,1552,14,50,114,7,62,1,2,2,0,0,0,1,1,100,770,23,23,28,29,266,86,143,37,57,167,7,15,443:32,1,4541,845,288,449,2874,13,29,183,367,1667,8,37,90
Denver,DEN,9009,14,308,259,3919,896,301,503,2800,16,47,316,75,346,1119,9,30,54,13,299,4,18,12,0,1,1,0,1,104,988,30,32,26,30,271,69,178,24,70,202,7,14,434:45,5,4795,928,322,536,3400,17,34,216,358,1395,10,37,77
Detroit,DET,9020,14,302,363,4930,888,322,473,3355,23,35,241,56,380,1575,18,50,107,6,56,1,16,8,0,1,2,0,2,93,838,31,36,17,18,289,59,203,27,67,181,6,12,434:57,2,4827,899,363,556,3646,28,38,218,305,1181,6,38,76
Green Bay,GB,9021,14,347,265,4924,909,292,504,3291,18,38,239,68,367,1633,11,49,116,14,192,2,9,4,0,0,0,3,5,91,793,38,40,22,26,282,90,153,39,63,176,6,12,416:48,2,4825,917,304,500,3152,29,33,227,384,1673,8,38,72
Houston,HOU,9031,14,275,301,4491,869,282,470,2956,23,36,248,70,363,1535,10,40,82,11,153,1,4,6,0,0,0,2,3,94,827,27,32,18,21,291,76,184,31,81,216,6,18,420:56,1,4832,984,317,552,3389,26,33,234,399,1443,5,37,76
